Epoch, Exe_time, CTCLoss 
0, 12.61, nan 
Test set results: CER: 0.9972032349360815, WER: 1.0 
1, 16.58, nan 
2, 16.74, nan 
3, 16.89, nan 
4, 17.06, nan 
5, 17.81, nan 
6, 19.20, nan 
7, 18.37, nan 
8, 18.22, nan 
9, 18.18, nan 
10, 17.81, nan 
Test set results: CER: 0.9971952142225368, WER: 1.0 
11, 16.72, nan 
12, 16.29, nan 
13, 16.94, nan 
14, 17.00, nan 
15, 16.20, nan 
16, 15.39, nan 
17, 14.08, nan 
18, 17.02, nan 
19, 17.10, nan 
20, 17.38, nan 
Test set results: CER: 0.9972265628360538, WER: 1.0 
21, 18.10, nan 
22, 18.04, nan 
23, 18.25, nan 
24, 18.16, nan 
25, 18.14, nan 
26, 18.38, nan 
27, 19.14, nan 
28, 16.81, nan 
29, 16.77, nan 
30, 18.14, nan 
Test set results: CER: 0.9971611263264454, WER: 1.0 
31, 18.81, nan 
32, 19.37, nan 
33, 18.88, nan 
34, 19.36, nan 
35, 20.45, nan 
36, 20.25, nan 
37, 18.69, nan 
38, 18.15, nan 
39, 14.04, nan 
40, 7.26, nan 
Test set results: CER: 0.9971929608937133, WER: 1.0 
41, 7.23, nan 
42, 7.25, nan 
43, 7.23, nan 
44, 7.23, nan 
45, 7.24, nan 
46, 7.26, nan 
47, 7.24, nan 
48, 7.24, nan 
49, 7.24, nan 
50, 7.24, nan 
Test set results: CER: 0.9971934102600747, WER: 1.0 
51, 7.28, nan 
52, 7.23, nan 
53, 7.26, nan 
54, 7.23, nan 
55, 7.23, nan 
56, 7.23, nan 
57, 11.41, nan 
58, 16.47, nan 
59, 17.79, nan 
60, 17.71, nan 
Test set results: CER: 0.9972291469953631, WER: 1.0 
61, 18.22, nan 
62, 17.74, nan 
63, 17.06, nan 
64, 17.04, nan 
65, 17.61, nan 
66, 17.28, nan 
67, 17.23, nan 
68, 16.78, nan 
69, 16.85, nan 
70, 16.77, nan 
Test set results: CER: 0.9972117203148482, WER: 1.0 
71, 16.68, nan 
72, 16.97, nan 
73, 17.03, nan 
74, 17.42, nan 
75, 16.80, nan 
76, 16.73, nan 
77, 16.75, nan 
78, 16.69, nan 
79, 16.97, nan 
80, 16.80, nan 
Test set results: CER: 0.9971290383654021, WER: 1.0 
81, 17.06, nan 
82, 16.43, nan 
83, 16.22, nan 
84, 16.01, nan 
85, 16.50, nan 
86, 16.22, nan 
87, 16.17, nan 
88, 18.35, nan 
89, 18.14, nan 
90, 17.51, nan 
